,names,link,research_field,subfaculty,faculty,link_CU,research_interest
295,Thomas Rhys Evans,https://scholar.google.co.uk/citations?hl=en&user=Aa_S_hIAAAAJ,"Psychology, Open Science, Emotional Intelligence, Humour",,,,
296,Richard Tomlins,https://scholar.google.co.uk/citations?hl=en&user=T0wclsIAAAAJ,"Social value, creative economy, transformational change, equalities, community cohesion",International Centre for Transformational Entrepreneurship,Faculty of Business & Law,https://pureportal.coventry.ac.uk/en/persons/richard-tomlins,External positions: None
297,JOHN N KARADELIS,https://scholar.google.co.uk/citations?hl=en&user=s8Nm8fwAAAAJ,"Stress & Structural Analysis, Finite Element Analysis, Structural Dynamics",,,,
298,Ke Li,https://scholar.google.co.uk/citations?hl=en&user=gLmp7MMAAAAJ,"power electronics, wide bandgap power semiconductor devices, device characterisation, device modeling, EMI",,,https://pureportal.coventry.ac.uk/en/persons/ke-li,None: None
299,Sarkar Kabir,https://scholar.google.co.uk/citations?hl=en&user=A1USZtAAAAAJ,"Finance, Banking, Islamic Finance and Commodity Market","School of Economics, Finance and Accounting",Faculty of Business & Law,https://pureportal.coventry.ac.uk/en/persons/sarkar-kabir,Education/Academic qualification: None
300,Dr Abdullahi Ahmed,https://scholar.google.co.uk/citations?hl=en&user=2UOcfbsAAAAJ,"Building performance Modelling, Building Information Modelling, Green Buildings",,,,
301,STEVE FOSTER,https://scholar.google.co.uk/citations?hl=en&user=JGbV_DEAAAAJ,"Human Rights, Prisoners' Rights, Constitutional Law",,,,
302,Chuck Thiessen,https://scholar.google.co.uk/citations?hl=en&user=PlzTOSYAAAAJ,"International relations, Peacebuilding, Conflict resolution",,,https://pureportal.coventry.ac.uk/en/persons/chuck-thiessen,Research Interests: Post-war international development and peacebuilding interventions; conflict and development; statebuilding; the prevention of violent extremism; international norms and civil society; local ownership; international organizations; and international conflict resolution and analysis.
303,"Anastasios Plioutsias, Tassos",https://scholar.google.co.uk/citations?hl=en&user=c0ZtcuMAAAAJ,"Risk, Decision making, safety, quality, Human Factors.",,,,
304,Abdul Khadar Syed,https://scholar.google.co.uk/citations?hl=en&user=Bv-uivkAAAAJ,,,,,
